"Tuesday, September 13, 2016",All Day,Spurlock Museum of World Cultures,Medieval Irish Masterpieces in Modern Reproduction Exhibition,"“Medieval Irish Masterpieces in Modern Reproduction” showcases two extraordinary University of Illinois collections of modern reproductions of medieval Irish art. The craft of metalworking is represented by two dozen superb electrotype facsimiles of jewelry and reliquaries such as the Tara Brooch and the Cross of Cong made by the firm of Dublin jeweler Edmond Johnson, originally for the 1893 Chicago World’s Fair. The art of the scribe is illustrated by ten limited-edition facsimiles of medieval Irish manuscripts such as the Leabhar Breac and the Book of Kells published by learned societies such as the Royal Irish Academy and commercial presses such as Urs Graf Verlag. Most of these reproductions were acquired by the University in and around 1916, the year of the Irish “Easter Rising” against British rule. They celebrated Irish culture as part of an Irish Foundation envisioned by Gertrude Schoepperle, a noted Celtic scholar in the English Department. This centenary exhibit and symposium places these reproductions in relation to their medieval originals and in the modern context of the “Gaelic Revival” and the construction, imagination, and study of Irish cultural heritage and national identity in Ireland and America."
"Tuesday, September 13, 2016",12:00 pm,"Spurlock Museum, 600 South Gregory, Urbana",Medieval Irish Masterpieces in Modern Reproduction,"In 1916, the UIUC Museum of European History acquired a remarkable set of high-quality reproductions of major monuments of early Irish metalwork art, including the Tara Brooch, Ardagh Chalice, the Cross of Cong, and the shrine of St. Lachtin's arm by the Dublin jeweler Edmond Johnson. In this exhibit, many pieces of this collection will be displayed alongside nineteenth- and twentieth-century facsimiles of illuminated Irish vernacular and Latin manuscripts on loan from the UIUC Library. Museum hours: Tues, 12-5; Wed-Fri, 9-5; Sat, 10-5; Sun, 12-4; closed Mondays."
"Friday, November 11, 2016",8:30 am,"KAM Main Level, Asian Gallery",KAM exhibition | Making and Breaking Medieval Manuscripts,"Co-curated by Maureen Warren and Anna Chen, Making and Breaking Medieval Manuscripts is a look into Medieval Europe and the art of its written word. The exhibition showcases Western European manuscripts from the thirteenth to the sixteenth centuries and examines issues associated with the production of illuminations and other decorations, patronage, as well as owner additions and modifications. It explores the impact of printing technologies and the reuse of parchment, as well as book breaking. Making and Breaking Medieval Manuscripts is a step back in time where we can learn from manuscripts then and its rippling effects into the future."
"Friday, November 11, 2016",All Day,"KAM Main Level, East Gallery",KAM exhibition | Zina Saro-Wiwa: Did You Know We Taught Them How to Dance,"Witness the video artist and filmmaker Zina Saro-Wiwa's first solo museum presentation of works. Drawing upon folklore, masquerade traditions, religious practices, food, and Nigerian popular aesthetics, Saro-Wiwa's work combines documentary and performance, testing art's capacity to transform and to envision new concepts of environment and environmentalism. This exhibition is curated by Amy L. Powell."
"Saturday, December 03, 2016",2:00 pm,"Spurlock Museum, 600 South Gregory, Urbana",Curator-led tours of Medieval Irish Masterpieces in Modern Reproduction.,Exhibit curator Professor Charles D. Wright will lead public tours of this special exhibit. Contact Kim Sheahan at ksheahan@illinois.edu to reserve your attendance. The group size is limited.
"Tuesday, January 03, 2017",4:00 pm,217 NL,"Dr. Graham de Ruiter, Seminar of Special Interest, California Institute of Technology, ""Towards Terminal High-Valent Metal-Oxo Motifs on Multimetallic Scaffolds""",
"Thursday, January 05, 2017",11:00 am,116 Roger Adams Lab,"Dr. Megan Matthews, Seminar of Special Interest, The Scripps Research Institute, ""Chemoproteomic Profiling and Discovery of Protein Electrophiles in Human Cells""",
"Saturday, January 07, 2017",2:00 - 3:00 pm,"Spurlock Museum, 600 S. Gregory, Urbana, IL",Stories to Warm Your Heart,Throw off the winter chill with a family storytelling concert by resident storyteller Kim Sheahan.
"Tuesday, January 10, 2017",2:00 pm,B102 CLSL,"Dr. Scott Horowitz, Seminar of Special Interest, Howard Hughes Medical Institute, ""Adventures in Chaperone Structural Biology""",
"Wednesday, January 11, 2017",3:00 - 5:00 pm,305 A-1 Gregory Hall (DGS Conference Room),Graduate Studies Committee Mtg,
"Wednesday, January 11, 2017",3:30 - 5:00 pm,7 DKH,Skilled-Biased Technical Change and Regional Convergence,Skilled-Biased Technical Change and Regional Convergence
"Thursday, January 12, 2017",11:15 am,116 Roger Adams Lab,"Dr. Bryan Bzdek, University of Bristol ""From Nanoparticles to Cloud Droplets: Measurements of Aerosol Composition, Reactivity, and Surface Tension""",
"Thursday, January 12, 2017",3:30 - 5:00 pm,7 DKH,Ascending Auctions with Multidimensional Signals,Ascending Auctions with Multidimensional Signals
"Friday, January 13, 2017",3:30 - 5:00 pm,7 DKH,A Structural Pairwise Network Model with Individual Heterogeneity,A Structural Pairwise Network Model with Individual Heterogeneity
"Tuesday, January 17, 2017",11:00 am,507 E Green St. Room 411,"Dialogue on Europe Videoconference Series (with University of Pittsburgh): ""Calling Foul: Electoral Interference in the US and Europe""","Abstract: Have we entered a new age of cyber-sabotage? In this session of Conversations on Europe, our expert panel will explore episodes of foreign state interference in electoral politics in Europe and the U.S. past and present. From state-sponsored hacking to Wikileaks, what do we know about who is calling the shots? How have disinformation campaigns been used to meddle in domestic politics in countries throughout eastern and western Europe, and to what effect? Moderator: Sean Guillory, Blogger and Podcaster, Affiliate with Center for Russian and East European Studies Panelists:  John R. Deni, Research Professor of National Security Studies, Gen. Douglas MacArthur Chair of Research, Strategic Studies Institute Florian Hartleb, Independent Scholar and Consultant, E-Estonia and digitization Helga Druxes, Professor of German, Williams College William Dunn, Professor, Graduate School of Public & International Affairs "
"Tuesday, January 17, 2017",1:00 pm,IEI,Spring Registration for New Students,
"Tuesday, January 17, 2017",3:30 - 5:00 pm,7 DKH,Trade Liberalization and Regional Dynamics,Trade Liberalization and Regional Dynamics
