"Monday March 27 2006","3 : 00 4 : 30 pm","210 Illini Union","The Job Search Consult","This workshop discuss consult job search strategi grad student It inform begin organ job search strategi effect research organ find help resourc"
"Wednesday Septemb 02 2009","5 : 00 pm","2405 Siebel Center","IMC Financi Market Informat Session","< p > < b > Pleas check back detail < b > < p >"
"Wednesday Septemb 09 2009","All Day","2405 Siebel Center","Googl Corpor Day","Googl mission organ world inform make univers access use It enorm goal accomplish great peopl help achiev Come learn Googl meet Googler excit events:Wednesday Septemb 912 : 00 1 : 00pm Lighten Tech Talk Siebel 2405Come hear excit engin project Five engin present work Googl 5 : 30 6 : 30pm Intern Panel Siebel 2405Guess classmat summer Come hear UIUC student talk summer project life Googl intern 7 : 30 8 : 30pm Geek Trivia Siebel 2405 Co sponsor CSGSO Grab friend excit game trivia you'v play Sign event RSVPing RSVPing help plan ahead welcom If question job opportun pleas feel free contact Jessica Bagley ( jbagley @ google.com ) We look meet"
"Tuesday Septemb 15 2009","All Day","Siebel Center","yahoo Hack Day","Pleas check back detail"
"Tuesday Septemb 22 2009","5 : 30 pm","2405 Siebel Center","Facebook Tech Talk",""
"Wednesday Septemb 23 2009","10 : 00","3401 Siebel Center","Timothi Bickmor Northeastern Univers","Titl : Person Health Advocat Abstract : Health behavior drive 70 % cost US healthcar system respons 55 % death Tobacco result $ 193B healthcar cost 443,000 death overweight obes result $ 100B cost 112,000 death Health behavior continu signific cost driver healthcar system get involv Patient show appoint show unprepar condit regimen averag half medic taken prescrib In talk I describ vision autom persist proactiv personifi health advoc function self care coach prevent medicin mediat interact healthcar system Ill present system lab produc develop work vision span well promot self care educ hospit discharg home medic adher promot Ill discuss dialogu system anim convers agent technolog under system applic various stage clinic trial experi conduct R & D healthcar ( NIH ) environ The applic exercis promot geriatr patient ( clinic trial Geriatr Clinic Boston Medic Center ) exercis promot Spanish speak older Latino adult ( clinic trial Stanford Medic ) antipsychot medic adher adult schizophrenia ( complet trial Univers Pittsburgh School Nurs ) hospit bedsid patient educ ( clinic trial Boston Medic Center ) Bio : Timothi Bickmor Assistant Professor Colleg Comput Informat Scienc Northeastern Univers The focus research develop evalu comput agent emul face face interact health provid patient health educ long term health behavior chang intervent particular focus emot relat aspect interact Prior Northeastern spent two year Assistant Professor Medicin Boston Univers School Medicin Dr Bickmor receiv Ph.D MIT dissert work Media Lab studi emot interact peopl anim comput charact"
"Friday Septemb 25 2009","12 : 00 pm","2405 Siebel Center","Cerner Intern Panel","What intern Cerner lead health care IT compani What hard problem Cerner face help Find inform Q & A panel former Cerner intern andcurr CS student : Tim TsuMarc CelaniChri Ridmannand Gabriel Akintayo THE CORPORATE CONNECTION PRESENTS"
"Monday Septemb 28 2009","5 : 00 pm","2405 Siebel Center","Acquiti Group Informat Session","About Acquiti Group Acquiti Group proven track record develop tailor solut leverag breadth expertis deep understand strategi technolog design help compani enabl digit channel We'r serv lead brand Allstate Tommi Bahama Sak Fifth Avenu Unite Airlin Gener Motor Kohl Motorola Shimano Acquiti Group headquart Chicago IL offic Irvine & Los Angele CA ; Overland Park KS ; Scottsdal AZ Dalla TX"
"Thursday October 08 2009","6 : 00 pm","2405 SC","Engineer In Resid : David Burn","Titl : Engineer Resid : David Burn Bio : David Burn presid Transcend Innovat Group Driven social respons approach entrepreneurship Transcend Innovat Group provid technolog solut spur social progress creat life improv opportun David previous manag Multimedia User Interfac Design team Motorola His team respons design multimedia user interfac Motorola core mobil devic platform Prior join Motorola David manag consult IBM Usabil Engineer Nation Practic led user interfac design effort Fortun 500 companies.David receiv Bachelor Scienc comput scienc concentr psycholog Univers Illinoi Urbana Champaign Master Engineer concentr user interfac design educ technolog Univers Colorado Boulder"
"Friday October 09 2009","12 : 00 pm","2405 SC","EIR : Go Solo : The Ups Down Be Entrepreneur","Titl : Go Solo : The Ups Down Be Entrepreneur Abstract:Mani comput scienc student struggl pursu corpor career follow entrepreneuri rout As former IBM Motorola employe current busi owner David perspect up down associ corpor entrepreneuri role David offer advic colleg student start prepar career path tip determin run busi Bio : David Burn presid Transcend Innovat Group Driven social respons approach entrepreneurship Transcend Innovat Group provid technolog solut spur social progress creat life improv opportun David previous manag Multimedia User Interfac Design team Motorola His team respons design multimedia user interfac Motorola core mobil devic platform Prior join Motorola David manag consult IBM Usabil Engineer Nation Practic led user interfac design effort Fortun 500 companies.David receiv Bachelor Scienc comput scienc concentr psycholog Univers Illinoi Urbana Champaign Master Engineer concentr user interfac design educ technolog Univers Colorado Boulder"
"Monday October 12 2009","5 : 00 pm","2405 Siebel Center","Epic Technic Talk","Abstract : The electron health record ( EHR ) vital tool care treatment patient current polit hot topic In recent year EHR grown place basic document rich interact system streamlin clinician ’ workflow assist decis best care patient The softwar develop design program today’ EHR face vast landscap uniqu complex develop problem opportun posit impact live million peopl This present introduc EHR cover challeng problem Discuss challeng sustain rapid system perform number end user system continu grow keep cost manag EHRs maintain accur health inform patient receiv care various locat countri EHRs assist clinician make safe inform decis Speaker Bio : Paul Pawola softwar develop Epic He work clinic applic current work surgeri document modul He graduat Univers Illinoi Urbana Champaign 2000 BS Comput Engineer receiv MS Electric Engineer 2002 Brian Pellin softwar develop Epic primarili focus bill applic He graduat Univers Illinoi Urbana Champaign BS Comput Scienc 2004 receiv MS Comput Scienc Univers Wisconsin – Madison 2006"
"Wednesday October 14 2009","5 : 30 pm","2405 Siebel Center","Palantir Tech Talk",""
"Friday October 16 2009","8 : 30","Siebel Center Atrium","ACM Reflect | Project Job Fair","The Reflect | Project Job Fair held 10 : 00 AM 4 : 00 PM Friday October 16 2009 Univers Illinoi Urbana Champaign campus Thoma M Siebel Center Comput Science.Th job fair featur premier comput technolog employ offer internship full time employ UIUC student Pleas contact corpor @ acm.uiuc.edu information.Employ confirm 2009 : Beckman Coulter Bungi Cerner CME Group Countri Financi Facebook Gener Electric IGT Infosi Intel LimeWir Lockhe Martin Microsoft Northrop Grumman NSA Palantir Palm Riverb Salesforc SpaceX State Farm ViaSat VMware"
"Monday October 19 2009","7 : 00 pm","2405 Siebel Center","EA Game Tech Talk MMOs : Everyon Want Do One","MMOs : Everyon Want Do OnePres Colin Shannon Studio Technic Director EA Mythic Entertainment10 19 7 pm 2405 Siebel CenterPizza provid student bring resum appli Symplic consid campus interview"
"Tuesday October 20 2009","9 : 00 4 : 00 pm","Siebel Center Atrium","State Farm Corpor Day",""
"Thursday October 22 2009","6 : 00 pm","1404 Siebel Center","State Farm present : Normal Consid Harm ( Or How Much Like Frog Are We Computerist ) Dr Alan Kay","Abstract : Sever notabl time histori comput field abl escap entrench orthodoxi condit think shouldn’t thought work In order concept normal way thing perceiv construct realiti necess Could question current realiti Bio : Dr Alan Kay pioneer object orient program person comput graphic user interfac Dr Kay’ contribut acknowledg Charl Stark Draper Prize Nation Academi Engineer A.M Ture Award Associat Comput Machineri Kyoto Prize Inamori Foundat Alan adjunct professor comput scienc UCLA visit professor Kyoto Univers advisor One Laptop Child He held fellow posit HP Disney Apple Xerox serv chief scientist Atari At Viewpoint Research Alan continu work power idea educ world’ children develop advanc person comput network system He fellow American Academi Arts & Scienc Nation Academi Engineer Royal Societi Arts Comput Histori Museum His honor ACM System Softwar Award NEC Comput & Commun Foundat Prize honorari doctor Georgia Institut Technolog Univers Pisa Univers Waterloo"
"Wednesday October 28 2009","5 : 30 pm","2405 Siebel Center","User Experienc @ Googl","One Googl core principl Focus user follow A member Googl User Experienc team Asif Baki discuss take focus user compani approach design research develop product Come learn User Experienc @ Googl excit event:Us Experienc @ Googl Speaker : Asif Baki Googl User Experienc Research & UIUC Alum October 28 2009 ( tomorrow ) @ 5 : 30pmSiebel 2405If question job opportun pleas feel free contact : Jessica Bagley jbagley @ google.com"
"Wednesday Novemb 04 2009","2 : 15 pm","Alice Campbel Alumni Center601 South Lincoln Avenu Urbana","Rethink Comput : Craig Mundi Chief Research Strategi Officer Microsoft","“ We'r tri chang natur softwar move point click model comput peopl natur way interact machin I think increas we'll abl talk comput talk back possibl anticip thing ” Craig Mundi Chief Research Strategi Officer Microsoft Pleas join special present Craig Mundi chief research strategi offic Microsoft Craig two senior execut took Bill Gate He respons company’ long term technolog strategi Craig talk softwar inform technolog help solv press global challeng face today He demonstr number current futur look technolog show comput scienc chang scientif explor discoveri excit way Craig discuss role new scienc solv global energi crisi answer question audienc For inform Microsoft Craig Mundi visit www.microsoft.com presspass exec craig Door open 2pm"
"Thursday Novemb 05 2009","6 : 00 pm","2405 Siebel Center","Zynga Compani Present","Meet Luke Rajlich Joel Poloney Farmvill HIRING FOR DEC & MAi JUNE FULL TIME & SUMMER INTERNSHIP OPPORTUNITIES Submit resum http : engineering.illinois.edu career blarson @ zynga.com ASAP Free food giveaway we'r raffl Netbook"
"Wednesday Novemb 18 2009","6 : 00 pm","2405 Siebel Center","Inside Programm Studio Jen Mozen ThoughtWork","Jen Mozen Princip Consult ThoughtWork global IT consult provid system develop consult transform servic product Global 1000 compani Dure 8 year ThoughtWork Jen play varieti role : Support Manag Busi Analyst Project Manag Global Operat Manag Assisstant COO Director Peopl Client Princip She opportun live London travel world visit ThoughtWork offic client Australia Canada China India Scotland Spain Jen start career Procter & Gambl Cincinnati part team roll company’ intranet platform She led develop intranet applic consult varieti differ busi group develop intranet strategi A year later Jen got swoop dot com craze join internet startup call PlanetFeedback manag develop team Jen receiv Bachelor’ degre Comput Scienc concentr Internat Econom Univers Illinoi – Urbana Champaign She heavili involv student activ campus serv Presid Societi Women Engineer Public Director EOH Engineer Learn Assistant Jen name Senior 100 Honorari receiv Duncan H Lawri Award Leadership name Knight St Patrick"
