"Monday, March 27, 2006",3:00 - 4:30 pm,210 Illini Union,The Job Search in Consulting,"This workshop will discuss consulting job search strategies for grad students. It will provide information about how to begin and organize the job search, what strategies are most effective, how to research organizations, and where to find other helpful resources."
"Wednesday, September 02, 2009",5:00 pm,2405 Siebel Center,IMC Financial Markets Information Session,<p><b>Please check back for more details</b></p>
"Wednesday, September 09, 2009",All Day,2405 Siebel Center,Google Corporate Day,"Google's mission is to organize the world's information and make it universally accessible and useful. It's an enormous goal to accomplish and we need great people to help us achieve it!Come learn about Google and meet our Googlers at these exciting events:Wednesday, September 912:00 - 1:00pm - Lightening Tech Talks - Siebel 2405Come hear about exciting engineering projects! Five engineers will present on their work at Google.5:30 - 6:30pm - Intern Panel - Siebel 2405Guess what your classmates were up to this summer? Come hear UIUC students talk about their summer projects and life as a Google intern!7:30 - 8:30pm - Geek Trivia - Siebel 2405*Co-sponsored by CSGSO*Grab your friends for an exciting game of trivia like you've never played before!Sign up for one or all of these events by RSVPing here. RSVPing helps us plan ahead, but everyone is welcome!If you have questions about job opportunities, please feel free to contact Jessica Bagley (jbagley@google.com). We look forward to meeting you!"
"Tuesday, September 15, 2009",All Day,Siebel Center,Yahoo Hack Days,Please check back for more details
"Tuesday, September 22, 2009",5:30 pm,2405 Siebel Center,Facebook Tech Talk,
"Wednesday, September 23, 2009",10:00 am,3401 Siebel Center,Timothy Bickmore of Northeastern University,"Title:  Personal Health Advocates Abstract:  Health behavior drives 70% of the cost in the US healthcare system and is responsible for 55% of deaths. Tobacco use results in $193B in healthcare costs and 443,000 deaths per year, and overweight and obesity result in another $100B in costs and 112,000 deaths per year. Health behavior continues to be a significant cost driver even after the healthcare system gets involved. Patients often do not show up for appointments or show up unprepared, and across most conditions and regimens, on average, only half of medications are taken as prescribed. In this talk I will describe a vision for an automated persistent, proactive and personified health advocate that functions as a self-care coach for preventive medicine and a mediator for interactions with the healthcare system. Ill present several systems that my lab has produced or have in development that work towards this vision, spanning wellness promotion to self-care education at hospital discharge to at-home medication adherence promotion. Ill discuss the dialogue systems and animated conversational agent technology underlying these systems, as well as applications in various stages of clinical trial, and experiences conducting R&D in the healthcare (and NIH) environment. The applications include exercise promotion for geriatrics patients (in clinical trial in the Geriatrics Clinic at Boston Medical Center), exercise promotion for Spanish-speaking older Latino adults (in clinical trial at Stanford Medical), antipsychotic medication adherence for adults with schizophrenia (completed trial with the University of Pittsburgh School of Nursing), and hospital bedside patient education (in clinical trial at Boston Medical Center).   Bio:  Timothy Bickmore is an Assistant Professor in the College of Computer and Information Science at Northeastern University. The focus of his research is on the development and evaluation of computer agents that emulate face-to-face interactions between health providers and patients for use in health education and long-term health behavior change interventions, with a particular focus on the emotional and relational aspects of these interactions. Prior to Northeastern, he spent two years as an Assistant Professor of Medicine at the Boston University School of Medicine. Dr. Bickmore received his Ph.D. from MIT, doing his dissertation work in the Media Lab studying emotional interactions between people and animated computer characters."
"Friday, September 25, 2009",12:00 pm,2405 Siebel Center,Cerner Intern Panel,"Whats it like to intern at Cerner, a leading health care IT company? What hard problems is Cerner facing, and how can you help?Find out in this informal Q&A panel with former Cerner interns, andcurrent CS students, including: Tim TsuMarc CelaniChris Ridmannand Gabriel Akintayo THE CORPORATE CONNECTION PRESENTS"
"Monday, September 28, 2009",5:00 pm,2405 Siebel Center,Acquity Group Information Session,"About Acquity Group Acquity Group has a proven track record of developing tailored solutions that leverage our breadth of expertise and deep understanding within strategy, technology and design to help companies enable their digital channel. We're serving leading brands such as Allstate, Tommy Bahama, Saks Fifth Avenue, United Airlines, General Motors, Kohl's, Motorola and Shimano. Acquity Group is headquartered in Chicago, IL and has offices in Irvine & Los Angeles, CA; Overland Park, KS; Scottsdale, AZ and Dallas, TX."
"Thursday, October 08, 2009",6:00 pm,2405 SC,Engineer In Residence: David Burns,"Title: Engineer in Residence: David Burns Bio: David Burns is president of Transcend Innovation Group. Driven by a socially responsible approach to entrepreneurship, Transcend Innovation Group provides technology solutions that spur social progress and create life improvement opportunities. David previously managed the Multimedia User Interface Design team at Motorola. His team was responsible for designing multimedia user interfaces for Motorola's core mobile device platform. Prior to joining Motorola, David was a managing consultant for IBM's Usability Engineering National Practice where he led user interface design efforts for several Fortune 500 companies.David received a Bachelor of Science in computer science with a concentration in psychology from the University of Illinois - Urbana/Champaign and a Master of Engineering with a concentration in user interface design and educational technology from the University of Colorado - Boulder. "
"Friday, October 09, 2009",12:00 pm,2405 SC,EIR: Going Solo: The Ups and Downs of Being an Entrepreneur,"Title: Going Solo: The Ups and Downs of Being an Entrepreneur   Abstract:Many computer science students struggle with whether they should pursue a corporate career or follow a more entrepreneurial route. As a former IBM and Motorola employee and a current business owner, David will provide a perspective on some of the ups and downs associated with both the corporate and entrepreneurial roles. David will offer advice on how college students can start preparing for either career path and provide tips for those who are determined to one day run their own business. Bio: David Burns is president of Transcend Innovation Group. Driven by a socially responsible approach to entrepreneurship, Transcend Innovation Group provides technology solutions that spur social progress and create life improvement opportunities. David previously managed the Multimedia User Interface Design team at Motorola. His team was responsible for designing multimedia user interfaces for Motorola's core mobile device platform. Prior to joining Motorola, David was a managing consultant for IBM's Usability Engineering National Practice where he led user interface design efforts for several Fortune 500 companies.David received a Bachelor of Science in computer science with a concentration in psychology from the University of Illinois - Urbana/Champaign and a Master of Engineering with a concentration in user interface design and educational technology from the University of Colorado - Boulder. "
"Monday, October 12, 2009",5:00 pm,2405 Siebel Center,Epic Technical Talk,"Abstract: The electronic health record (EHR) is a vital tool in the care and treatment of patients and a current political hot topic. In recent years, the EHR has grown from a place for basic documentation to a rich, interactive system that streamlines clinicians’ workflows and assists them with decisions on how best to care for their patients. The software developer who designs and programs today’s EHR is faced with a vast landscape of unique and complex development problems, and has the opportunity to positively impact the lives of millions of people.  This presentation will introduce the EHR and cover some of these challenges and problems. Discussed will be the challenges of sustaining rapid system performance as the number of end users in a system continues to grow, keeping costs down for managers of EHRs, maintaining accurate health information while patients receive care in various locations across the country, and using EHRs to assist clinicians in making safe and informed decisions.  Speaker Bios:  Paul Pawola is a software developer at Epic. He works with their clinical applications, and is currently working on their surgery documentation module. He graduated from the University of Illinois Urbana-Champaign in 2000 with a BS in Computer Engineering, and received his MS in Electrical Engineering in 2002.  Brian Pellin is a software developer at Epic primarily focused on their billing applications. He graduated from the University of Illinois Urbana-Champaign with a BS in Computer Science in 2004, and he received his MS in Computer Science from the University of Wisconsin – Madison in 2006. "
"Wednesday, October 14, 2009",5:30 pm,2405 Siebel Center,Palantir Tech Talk,
"Friday, October 16, 2009",8:30 am,Siebel Center Atrium,ACM Reflections | Projections Job Fair,"The Reflections | Projections Job Fair will be held from 10:00 AM to 4:00 PM on Friday, October 16, 2009 at the University of Illinois at Urbana-Champaign campus in the Thomas M. Siebel Center for Computer Science.The job fair features several premier computing and technology employers offering internships and full-time employment for UIUC students. Please contact corporate@acm.uiuc.edu for more information.Employers confirmed for 2009 include: Beckman Coulter Bungie Cerner CME Group Country Financial Facebook General Electric IGT Infosys Intel LimeWire Lockheed Martin Microsoft Northrop Grumman NSA Palantir Palm Riverbed Salesforce SpaceX State Farm ViaSat VMware"
"Monday, October 19, 2009",7:00 pm,2405 Siebel Center,EA Games Tech Talk - MMOs: Everyone Wants to Do One,"MMOs: Everyone Wants to Do OnePresented by Colin Shannon, Studio Technical Director at EA Mythic Entertainment10/19 at 7 pm in 2405 Siebel CenterPizza will be provided and students may bring resumes, but still need to apply on Symplicity to be considered for on-campus interviews."
"Tuesday, October 20, 2009",9:00 am - 4:00 pm,Siebel Center Atrium,State Farm Corporate Day,
