"Date","Time","Location","Name","Description"
"Tuesday Septemb 13 2016","All Day","Spurlock Museum World Cultur","Mediev Irish Masterpiec Modern Reproduct Exhibit","“ Mediev Irish Masterpiec Modern Reproduct ” showcas two extraordinari Univers Illinoi collect modern reproduct mediev Irish art The craft metalwork repres two dozen superb electrotyp facsimil jewelri reliquari Tara Brooch Cross Cong made firm Dublin jewel Edmond Johnson origin 1893 Chicago World’ Fair The art scribe illustr ten limit edit facsimil mediev Irish manuscript Leabhar Breac Book Kell publish learn societi Royal Irish Academi commerci press Urs Graf Verlag Most reproduct acquir Univers 1916 Irish “ Easter Rise ” British rule They celebr Irish cultur part Irish Foundat envis Gertrud Schoepperl note Celtic scholar English Depart This centenari exhibit symposium place reproduct relat mediev origin modern context “ Gaelic Reviv ” construct imagin studi Irish cultur heritag nation ident Ireland America"
"Tuesday Septemb 13 2016","12 : 00 pm","Spurlock Museum 600 South Gregori Urbana","Mediev Irish Masterpiec Modern Reproduct","In 1916 UIUC Museum European Histori acquir remark set high qualiti reproduct major monument earli Irish metalwork art Tara Brooch Ardagh Chalic Cross Cong shrine St Lachtin arm Dublin jewel Edmond Johnson In exhibit piec collect display alongsid nineteenth twentieth centuri facsimil illumin Irish vernacular Latin manuscript loan UIUC Librari Museum hour : Tue 12 5 ; Wed Fri 9 5 ; Sat 10 5 ; Sun 12 4 ; close Monday"
"Friday Novemb 11 2016","8 : 30","KAM Main Level Asian Galleri","KAM exhibit | Make Break Mediev Manuscript","Co curat Maureen Warren Anna Chen Make Break Mediev Manuscript look Mediev Europ art written word The exhibit showcas Western European manuscript thirteenth sixteenth centuri examin issu associ product illumin decor patronag owner addit modif It explor impact print technolog reus parchment book break Make Break Mediev Manuscript step back time learn manuscript rippl effect futur"
"Friday Novemb 11 2016","All Day","KAM Main Level East Galleri","KAM exhibit | Zina Saro Wiwa : Did you Know We Taught Them How Danc","Wit video artist filmmak Zina Saro Wiwa solo museum present work Draw folklor masquerad tradit religi practic food Nigerian popular aesthet Saro Wiwa work combin documentari perform test art capac transform envis new concept environ environment This exhibit curat Ami L Powel"
"Saturday Decemb 03 2016","2 : 00 pm","Spurlock Museum 600 South Gregori Urbana","Curat led tour Mediev Irish Masterpiec Modern Reproduct","Exhibit curat Professor Charl D Wright lead public tour special exhibit Contact Kim Sheahan ksheahan @ illinois.edu reserv attend The group size limit"
"Tuesday Januari 03 2017","4 : 00 pm","217 NL","Dr Graham de Ruiter Seminar Special Interest California Institut Technolog Toward Termin High Valent Metal Oxo Motif Multimetal Scaffold",""
"Thursday Januari 05 2017","11 : 00","116 Roger Adam Lab","Dr Megan Matthew Seminar Special Interest The Scripp Research Institut Chemoproteom Profil Discoveri Protein Electrophil Human Cell",""
"Saturday Januari 07 2017","2 : 00 3 : 00 pm","Spurlock Museum 600 S Gregori Urbana IL","Stori Warm your Heart","Throw winter chill famili storytel concert resid storytel Kim Sheahan"
"Tuesday Januari 10 2017","2 : 00 pm","B102 CLSL","Dr Scott Horowitz Seminar Special Interest Howard Hugh Medic Institut Adventur Chaperon Structur Biolog",""
"Wednesday Januari 11 2017","3 : 00 5 : 00 pm","305 A 1 Gregori Hall ( DGS Confer Room )","Graduat Studi Committe Mtg",""
"Wednesday Januari 11 2017","3 : 30 5 : 00 pm","7 DKH","Skill Bias Technic Chang Region Converg","Skill Bias Technic Chang Region Converg"
"Thursday Januari 12 2017","11 : 15","116 Roger Adam Lab","Dr Bryan Bzdek Univers Bristol From Nanoparticl Cloud Droplet : Measur Aerosol Composit Reactiv Surfac Tension",""
"Thursday Januari 12 2017","3 : 30 5 : 00 pm","7 DKH","Ascend Auction Multidimension Signal","Ascend Auction Multidimension Signal"
"Friday Januari 13 2017","3 : 30 5 : 00 pm","7 DKH","A Structur Pairwis Network Model Individu Heterogen","A Structur Pairwis Network Model Individu Heterogen"
"Tuesday Januari 17 2017","11 : 00","507 E Green St Room 411","Dialogu Europ Videoconfer Seri ( Univers Pittsburgh ) : Call Foul : Elector Interfer US Europ","Abstract : Have enter new age cyber sabotag In session Convers Europ expert panel explor episod foreign state interfer elector polit Europ U.S past present From state sponsor hack Wikileak know call shot How disinform campaign meddl domest polit countri eastern western Europ effect Moder : Sean Guillori Blogger Podcast Affiliat Center Russian East European Studi Panelist : John R Deni Research Professor Nation Secur Studi Gen Dougla MacArthur Chair Research Strateg Studi Institut Florian Hartleb Independ Scholar Consult E Estonia digit Helga Drux Professor German William Colleg William Dunn Professor Graduat School Public & Internat Affair"
"Tuesday Januari 17 2017","1 : 00 pm","IEI","Spring Registr New Student",""
"Tuesday Januari 17 2017","3 : 30 5 : 00 pm","7 DKH","Trade Liber Region Dynam","Trade Liber Region Dynam"
"Wednesday Januari 18 2017","9 : 00 12 : 00 pm","ISR 29B","Orientat 1",""
"Wednesday Januari 18 2017","10 : 00","B102 Chemic Life Scienc Laboratori","Dr Jack Cahil Oak Ridg Nation Laboratori Chemic Analysi Small Scale : Develop Singl Particl Image Mass Spectrometri",""
